payment_id,customer_id,staff_id,rental_id,amount,payment_date
16050,269,2,7,1.99,2007-01-24 21:40:19.996577
16051,269,1,98,0.99,2007-01-25 15:16:50.996577
16052,269,2,678,6.99,2007-01-28 21:44:14.996577
16053,269,2,703,0.99,2007-01-29 00:58:02.996577
16054,269,1,750,4.99,2007-01-29 08:10:06.996577
16055,269,2,1099,2.99,2007-01-31 12:23:14.996577
16056,270,1,193,1.99,2007-01-26 05:10:14.996577
16057,270,1,1040,4.99,2007-01-31 04:03:42.996577
16058,271,1,1096,8.99,2007-01-31 11:59:15.996577
16059,272,1,33,0.99,2007-01-25 02:47:17.996577
16060,272,1,405,6.99,2007-01-27 12:01:05.996577
16061,272,1,1041,6.99,2007-01-31 04:14:49.996577
16062,272,1,1072,0.99,2007-01-31 08:21:16.996577
16063,273,2,122,3.99,2007-01-25 18:14:47.996577
16064,273,2,980,0.99,2007-01-30 20:13:45.996577
16065,274,1,147,2.99,2007-01-25 22:46:16.996577
16066,274,1,208,4.99,2007-01-26 06:38:48.996577
16067,274,2,301,2.99,2007-01-26 19:34:40.996577
16068,274,1,394,5.99,2007-01-27 09:54:37.996577
16069,274,2,474,2.99,2007-01-27 20:40:22.996577
16070,274,1,892,4.99,2007-01-30 06:31:22.996577
16071,275,2,336,2.99,2007-01-27 01:43:49.996577
16072,276,1,736,3.99,2007-01-29 06:38:33.996577
16073,276,1,860,10.99,2007-01-30 01:13:42.996577
16074,277,2,308,6.99,2007-01-26 20:30:05.996577
16075,278,1,1092,4.99,2007-01-31 10:44:23.996577
16076,279,1,979,2.99,2007-01-30 20:05:37.996577
16077,279,2,1019,0.99,2007-01-31 01:33:33.996577
16078,280,1,1014,4.99,2007-01-31 01:07:42.996577
16079,281,2,650,2.99,2007-01-28 18:14:06.996577
16080,281,2,754,2.99,2007-01-29 08:47:25.996577
16081,282,2,48,1.99,2007-01-25 04:49:12.996577
16082,282,2,282,6.99,2007-01-26 17:24:52.996577
